seq,stage,n,n_patients
1,ecg_source,800035,161352
2,echo_source,206488,91372
3,echo_excl_nontte,26560,0
4,echo_excl_prosthetic,11774,0
5,echo_excl_incomplete,46407,0
6,echo_eligible,121747,67703
7,paired,233729,46349
8,excl_paced,7436,0
9,excl_poorqual,1101,0
10,excl_nomeas,595,0
11,excl_age,5,0
12,excl_sex,0,0
13,eligible_ecgs,224592,45878
14,cohort,45878,45878
15,cohort_shd,21659,0
16,cohort_pr_missing,7026,0
90,check_echo_excl_sums,0,0
91,check_excl_sums_to_paired,0,0
92,check_eligible_patients_equals_cohort,0,0
