proportion_imaged,n_studies,yield_model,yield_unprioritised,ppv
0.0020,91,0.00406,0.00198,0.96703
0.0040,182,0.00817,0.00397,0.97253
0.0060,273,0.01200,0.00595,0.95238
0.0079,364,0.01593,0.00793,0.94780
0.0099,455,0.02004,0.00992,0.95385
0.0119,546,0.02392,0.01190,0.94872
0.0139,637,0.02798,0.01388,0.95133
0.0159,728,0.03186,0.01587,0.94780
0.0179,819,0.03583,0.01785,0.94750
0.0198,910,0.03966,0.01984,0.94396
0.0218,1001,0.04368,0.02182,0.94505
0.0238,1092,0.04756,0.02380,0.94322
0.0258,1183,0.05148,0.02579,0.94252
0.0278,1274,0.05527,0.02777,0.93956
0.0298,1365,0.05933,0.02975,0.94139
0.0317,1456,0.06311,0.03174,0.93887
0.0337,1547,0.06709,0.03372,0.93924
0.0357,1638,0.07096,0.03570,0.93834
0.0377,1729,0.07484,0.03769,0.93754
0.0397,1820,0.07877,0.03967,0.93736
0.0417,1911,0.08269,0.04165,0.93721
0.0436,2002,0.08643,0.04364,0.93506
0.0456,2093,0.09022,0.04562,0.93359
0.0476,2184,0.09400,0.04760,0.93223
0.0496,2275,0.09756,0.04959,0.92879
0.0516,2366,0.10121,0.05157,0.92646
0.0536,2457,0.10508,0.05356,0.92633
0.0555,2548,0.10892,0.05554,0.92582
0.0575,2639,0.11270,0.05752,0.92497
0.0595,2730,0.11663,0.05951,0.92527
0.0615,2821,0.12046,0.06149,0.92485
0.0635,2912,0.12434,0.06347,0.92479
0.0655,3003,0.12789,0.06546,0.92241
0.0674,3094,0.13145,0.06744,0.92017
0.0694,3185,0.13509,0.06942,0.91868
0.0714,3276,0.13888,0.07141,0.91819
0.0734,3367,0.14257,0.07339,0.91714
0.0754,3458,0.14631,0.07537,0.91643
0.0774,3549,0.15001,0.07736,0.91547
0.0793,3640,0.15370,0.07934,0.91456
0.0813,3731,0.15753,0.08132,0.91450
0.0833,3822,0.16090,0.08331,0.91183
0.0853,3913,0.16441,0.08529,0.91004
0.0873,4004,0.16815,0.08727,0.90959
0.0893,4095,0.17185,0.08926,0.90891
0.0912,4186,0.17503,0.09124,0.90564
0.0932,4277,0.17840,0.09323,0.90344
0.0952,4368,0.18200,0.09521,0.90247
0.0972,4459,0.18556,0.09719,0.90132
0.0992,4550,0.18916,0.09918,0.90044
0.1012,4641,0.19295,0.10116,0.90045
0.1031,4732,0.19636,0.10314,0.89877
0.1051,4823,0.19987,0.10513,0.89757
