threshold,strategy,net_benefit
0.05,Model,0.444300
0.06,Model,0.438336
0.07,Model,0.432482
0.08,Model,0.426060
0.09,Model,0.419751
0.1,Model,0.413677
0.11,Model,0.407489
0.12,Model,0.400877
0.13,Model,0.394296
0.14,Model,0.387766
0.15,Model,0.381571
0.16,Model,0.375354
0.17,Model,0.369629
0.18,Model,0.363615
0.19,Model,0.357604
0.2,Model,0.351459
0.21,Model,0.345847
0.22,Model,0.339797
0.23,Model,0.334177
0.24,Model,0.328707
0.25,Model,0.322958
0.26,Model,0.316804
0.27,Model,0.311432
0.28,Model,0.305466
0.29,Model,0.300413
0.3,Model,0.295056
0.31,Model,0.289177
0.32,Model,0.284044
0.33,Model,0.278576
0.34,Model,0.272970
0.35,Model,0.267656
0.36,Model,0.262603
0.37,Model,0.257839
0.38,Model,0.252911
0.39,Model,0.247633
0.4,Model,0.242455
0.41,Model,0.237331
0.42,Model,0.231284
0.43,Model,0.225917
0.44,Model,0.220341
0.45,Model,0.215243
0.46,Model,0.209528
0.47,Model,0.204118
0.48,Model,0.199465
0.49,Model,0.194679
0.5,Model,0.188936
0.51,Model,0.184548
0.52,Model,0.179667
0.53,Model,0.174407
0.54,Model,0.169307
0.55,Model,0.164986
0.56,Model,0.160532
0.57,Model,0.155634
0.58,Model,0.151562
0.59,Model,0.146985
0.6,Model,0.141135
0.61,Model,0.136785
0.62,Model,0.132459
0.63,Model,0.127689
0.64,Model,0.123223
0.65,Model,0.118616
0.66,Model,0.114249
0.67,Model,0.110450
0.68,Model,0.106663
0.69,Model,0.101327
0.7,Model,0.096190
0.05,"Model, prior shift",0.444295
0.06,"Model, prior shift",0.438396
0.07,"Model, prior shift",0.432520
0.08,"Model, prior shift",0.426589
0.09,"Model, prior shift",0.420003
0.1,"Model, prior shift",0.413994
0.11,"Model, prior shift",0.407868
0.12,"Model, prior shift",0.401764
0.13,"Model, prior shift",0.395124
0.14,"Model, prior shift",0.388937
0.15,"Model, prior shift",0.382412
0.16,"Model, prior shift",0.376161
0.17,"Model, prior shift",0.370337
0.18,"Model, prior shift",0.364376
0.19,"Model, prior shift",0.358738
0.2,"Model, prior shift",0.352871
0.21,"Model, prior shift",0.346723
0.22,"Model, prior shift",0.341387
0.23,"Model, prior shift",0.335176
0.24,"Model, prior shift",0.329729
0.25,"Model, prior shift",0.324280
0.26,"Model, prior shift",0.318756
0.27,"Model, prior shift",0.313195
0.28,"Model, prior shift",0.306833
0.29,"Model, prior shift",0.301648
0.3,"Model, prior shift",0.295934
0.31,"Model, prior shift",0.290928
0.32,"Model, prior shift",0.285519
0.33,"Model, prior shift",0.280005
0.34,"Model, prior shift",0.274633
0.35,"Model, prior shift",0.269232
0.36,"Model, prior shift",0.263693
0.37,"Model, prior shift",0.258430
0.38,"Model, prior shift",0.253382
0.39,"Model, prior shift",0.248216
0.4,"Model, prior shift",0.243574
0.41,"Model, prior shift",0.238515
0.42,"Model, prior shift",0.232973
0.43,"Model, prior shift",0.228215
0.44,"Model, prior shift",0.222150
0.45,"Model, prior shift",0.216249
0.46,"Model, prior shift",0.211289
0.47,"Model, prior shift",0.205738
0.48,"Model, prior shift",0.200406
0.49,"Model, prior shift",0.194636
0.5,"Model, prior shift",0.189917
0.51,"Model, prior shift",0.185065
0.52,"Model, prior shift",0.179672
0.53,"Model, prior shift",0.174350
0.54,"Model, prior shift",0.169663
0.55,"Model, prior shift",0.164824
0.56,"Model, prior shift",0.159365
0.57,"Model, prior shift",0.154494
0.58,"Model, prior shift",0.150244
0.59,"Model, prior shift",0.146114
0.6,"Model, prior shift",0.141517
0.61,"Model, prior shift",0.136893
0.62,"Model, prior shift",0.131454
0.63,"Model, prior shift",0.126310
0.64,"Model, prior shift",0.121927
0.65,"Model, prior shift",0.117554
0.66,"Model, prior shift",0.113077
0.67,"Model, prior shift",0.108563
0.68,"Model, prior shift",0.104279
0.69,"Model, prior shift",0.100478
0.7,"Model, prior shift",0.096895
0.05,Image all,0.444316
0.06,Image all,0.438404
0.07,Image all,0.432366
0.08,Image all,0.426196
0.09,Image all,0.419890
0.1,Image all,0.413444
0.11,Image all,0.406854
0.12,Image all,0.400114
0.13,Image all,0.393218
0.14,Image all,0.386163
0.15,Image all,0.378941
0.16,Image all,0.371548
0.17,Image all,0.363976
0.18,Image all,0.356219
0.19,Image all,0.348272
0.2,Image all,0.340125
0.21,Image all,0.331772
0.22,Image all,0.323205
0.23,Image all,0.314415
0.24,Image all,0.305395
0.25,Image all,0.296133
0.26,Image all,0.286622
0.27,Image all,0.276849
0.28,Image all,0.266805
0.29,Image all,0.256479
0.3,Image all,0.245857
0.31,Image all,0.234927
0.32,Image all,0.223676
0.33,Image all,0.212089
0.34,Image all,0.200151
0.35,Image all,0.187846
0.36,Image all,0.175156
0.37,Image all,0.162063
0.38,Image all,0.148548
0.39,Image all,0.134590
0.4,Image all,0.120167
0.41,Image all,0.105254
0.42,Image all,0.089827
0.43,Image all,0.073860
0.44,Image all,0.057321
0.45,Image all,0.040182
0.46,Image all,0.022407
0.47,Image all,0.003962
0.48,Image all,-0.015192
0.49,Image all,-0.035098
0.5,Image all,-0.055800
0.51,Image all,-0.077347
0.52,Image all,-0.099792
0.53,Image all,-0.123192
0.54,Image all,-0.147609
0.55,Image all,-0.173111
0.56,Image all,-0.199773
0.57,Image all,-0.227675
0.58,Image all,-0.256905
0.59,Image all,-0.287561
0.6,Image all,-0.319750
0.61,Image all,-0.353590
0.62,Image all,-0.389211
0.63,Image all,-0.426757
0.64,Image all,-0.466389
0.65,Image all,-0.508286
0.66,Image all,-0.552647
0.67,Image all,-0.599697
0.68,Image all,-0.649688
0.69,Image all,-0.702903
0.7,Image all,-0.759667
