label,train_prevalence,logit_train_prevalence,output_bias
Reduced LVEF (<=45%),0.2340,-1.1859,-0.00012
LV wall thickness (>=1.3 cm),0.2438,-1.1320,-0.00593
Aortic stenosis,0.0403,-3.1703,-0.03016
Aortic regurgitation,0.0121,-4.4024,0.03531
Mitral regurgitation,0.0847,-2.3801,0.02586
Tricuspid regurgitation,0.1063,-2.1291,0.02698
Pulmonic regurgitation,0.0083,-4.7832,-0.04176
RV dysfunction,0.1324,-1.8799,0.02563
Pericardial effusion,0.0287,-3.5217,0.04815
Elevated PASP (>=45 mmHg),0.1894,-1.4539,0.03231
Elevated TR Vmax (>=3.2 m/s),0.1034,-2.1600,0.02471
Structural heart disease,0.5237,0.0949,0.02284
