label,variant,n,predicted,observed
Reduced LVEF (<=45%),As released,4588,0.05764,0.00763
Reduced LVEF (<=45%),As released,4588,0.10279,0.01787
Reduced LVEF (<=45%),As released,4588,0.15232,0.03335
Reduced LVEF (<=45%),As released,4587,0.21666,0.04862
Reduced LVEF (<=45%),As released,4588,0.30447,0.06779
Reduced LVEF (<=45%),As released,4588,0.41254,0.10942
Reduced LVEF (<=45%),As released,4587,0.52911,0.14323
Reduced LVEF (<=45%),As released,4588,0.63799,0.23365
Reduced LVEF (<=45%),As released,4588,0.73453,0.36138
Reduced LVEF (<=45%),As released,4588,0.83790,0.58021
Reduced LVEF (<=45%),After prior shift,4588,0.01840,0.00763
Reduced LVEF (<=45%),After prior shift,4588,0.03386,0.01787
Reduced LVEF (<=45%),After prior shift,4588,0.05211,0.03335
Reduced LVEF (<=45%),After prior shift,4587,0.07807,0.04862
Reduced LVEF (<=45%),After prior shift,4588,0.11832,0.06779
Reduced LVEF (<=45%),After prior shift,4588,0.17728,0.10942
Reduced LVEF (<=45%),After prior shift,4587,0.25648,0.14323
Reduced LVEF (<=45%),After prior shift,4588,0.35105,0.23365
Reduced LVEF (<=45%),After prior shift,4588,0.45936,0.36138
Reduced LVEF (<=45%),After prior shift,4588,0.61676,0.58021
LV wall thickness (>=1.3 cm),As released,4588,0.13111,0.06081
LV wall thickness (>=1.3 cm),As released,4588,0.19116,0.09983
LV wall thickness (>=1.3 cm),As released,4588,0.24801,0.14494
LV wall thickness (>=1.3 cm),As released,4587,0.31417,0.16154
LV wall thickness (>=1.3 cm),As released,4588,0.38729,0.18854
LV wall thickness (>=1.3 cm),As released,4588,0.46227,0.23387
LV wall thickness (>=1.3 cm),As released,4587,0.52785,0.26401
LV wall thickness (>=1.3 cm),As released,4588,0.58314,0.31408
LV wall thickness (>=1.3 cm),As released,4588,0.63659,0.36574
LV wall thickness (>=1.3 cm),As released,4588,0.70924,0.40257
LV wall thickness (>=1.3 cm),After prior shift,4588,0.04654,0.06081
LV wall thickness (>=1.3 cm),After prior shift,4588,0.07088,0.09983
LV wall thickness (>=1.3 cm),After prior shift,4588,0.09622,0.14494
LV wall thickness (>=1.3 cm),After prior shift,4587,0.12887,0.16154
LV wall thickness (>=1.3 cm),After prior shift,4588,0.16956,0.18854
LV wall thickness (>=1.3 cm),After prior shift,4588,0.21731,0.23387
LV wall thickness (>=1.3 cm),After prior shift,4587,0.26518,0.26401
LV wall thickness (>=1.3 cm),After prior shift,4588,0.31105,0.31408
LV wall thickness (>=1.3 cm),After prior shift,4588,0.36122,0.36574
LV wall thickness (>=1.3 cm),After prior shift,4588,0.44204,0.40257
Aortic stenosis,As released,4588,0.04271,0.00109
Aortic stenosis,As released,4588,0.09859,0.00632
Aortic stenosis,As released,4588,0.16333,0.01068
Aortic stenosis,As released,4587,0.24439,0.01439
Aortic stenosis,As released,4588,0.34164,0.02877
