label,auroc,fpr,tpr
Structural heart disease,0.790,0.00000,0.00000
Structural heart disease,0.790,0.00012,0.00651
Structural heart disease,0.790,0.00025,0.00873
Structural heart disease,0.790,0.00041,0.01043
Structural heart disease,0.790,0.00058,0.01357
Structural heart disease,0.790,0.00074,0.01510
Structural heart disease,0.790,0.00091,0.02216
Structural heart disease,0.790,0.00111,0.02382
Structural heart disease,0.790,0.00124,0.02618
Structural heart disease,0.790,0.00136,0.02876
Structural heart disease,0.790,0.00153,0.03153
Structural heart disease,0.790,0.00169,0.03509
Structural heart disease,0.790,0.00186,0.03744
Structural heart disease,0.790,0.00202,0.03920
Structural heart disease,0.790,0.00219,0.04220
Structural heart disease,0.790,0.00239,0.04631
Structural heart disease,0.790,0.00256,0.04802
Structural heart disease,0.790,0.00273,0.05005
Structural heart disease,0.790,0.00293,0.05259
Structural heart disease,0.790,0.00310,0.05513
Structural heart disease,0.790,0.00330,0.05998
Structural heart disease,0.790,0.00347,0.06136
Structural heart disease,0.790,0.00363,0.06247
Structural heart disease,0.790,0.00380,0.06593
Structural heart disease,0.790,0.00396,0.06870
Structural heart disease,0.790,0.00417,0.07207
Structural heart disease,0.790,0.00434,0.07443
Structural heart disease,0.790,0.00450,0.07604
Structural heart disease,0.790,0.00467,0.07872
Structural heart disease,0.790,0.00487,0.08228
Structural heart disease,0.790,0.00504,0.08385
Structural heart disease,0.790,0.00520,0.08560
Structural heart disease,0.790,0.00541,0.08786
Structural heart disease,0.790,0.00557,0.08915
Structural heart disease,0.790,0.00574,0.09022
Structural heart disease,0.790,0.00590,0.09156
Structural heart disease,0.790,0.00611,0.09419
Structural heart disease,0.790,0.00636,0.09530
Structural heart disease,0.790,0.00657,0.09723
Structural heart disease,0.790,0.00673,0.09848
Structural heart disease,0.790,0.00694,0.10024
Structural heart disease,0.790,0.00718,0.10213
Structural heart disease,0.790,0.00735,0.10494
Structural heart disease,0.790,0.00756,0.10573
Structural heart disease,0.790,0.00772,0.10785
Structural heart disease,0.790,0.00793,0.11044
Structural heart disease,0.790,0.00809,0.11155
Structural heart disease,0.790,0.00826,0.11413
Structural heart disease,0.790,0.00842,0.11736
Structural heart disease,0.790,0.00859,0.11884
Structural heart disease,0.790,0.00875,0.12189
Structural heart disease,0.790,0.00892,0.12318
Structural heart disease,0.790,0.00908,0.12480
