Characteristic,MIMIC-IV (this study),"EchoNext-Mini, latest ECG per patient (published)"
"Patients, n","45,878","36,286"
"Age, years, median [IQR]",68 [56–79],64 [52–75]
"Female, %",48.6,50.5
"Race or ethnicity, %",,
  White,69.3,29.3
  Black,13.2,14.9
  Hispanic,4.6,30.3
  Asian,3.2,3.0
  Other or unknown,9.7,22.4
"Care setting at ECG, %",,
  Inpatient ward,31.2,41.2
  Emergency or acute,28.8,35.9
  Outpatient or ambulatory,24.4,18.8
  Intensive care,15.6,not reported separately
"Electrocardiographic measurements, median",,
"  Ventricular rate, bpm",76,78
"  PR interval, ms",158,156
"  QRS duration, ms",93,88
"  QTc, ms",444,444
"  PR interval unmeasurable, %",15.3,11.2
"Structural heart disease prevalence, %",,
  Any (composite),47.2,43.3
  Reduced LVEF,16.0,18.0
  LV wall thickness,22.4,18.8
  RV dysfunction,5.8,8.0
  Pericardial effusion,0.6,1.3
  Elevated PASP,10.8,12.9
  Elevated TR Vmax,12.7,6.5
  Aortic stenosis,5.1,5.4
  Aortic regurgitation,1.5,1.2
  Mitral regurgitation,8.8,6.5
  Tricuspid regurgitation,10.3,7.0
  Pulmonic regurgitation,1.6,0.4
"ECG-to-echocardiogram interval, days, median [IQR]",2 [1–15],not available
