Label,"Benchmark prevalence, %",Benchmark AUROC (this study),Benchmark AUROC (as published),"MIMIC-IV prevalence, %",MIMIC-IV AUROC,AUROC difference,Benchmark mean predicted,MIMIC-IV mean predicted,Benchmark CIL,MIMIC-IV CIL
Reduced LVEF (<=45%),17.7,0.852,0.852,16.0,0.835,-0.017,0.354,0.399,-0.177,-0.238
LV wall thickness (>=1.3 cm),19.5,0.734,0.734,22.4,0.679,-0.056,0.401,0.419,-0.206,-0.195
Aortic stenosis,5.3,0.859,0.859,5.1,0.783,-0.076,0.343,0.404,-0.291,-0.354
Aortic regurgitation,1.2,0.740,0.739,1.5,0.730,-0.010,0.340,0.372,-0.328,-0.357
Mitral regurgitation,6.2,0.806,0.806,8.8,0.806,-0.000,0.341,0.374,-0.279,-0.286
Tricuspid regurgitation,6.5,0.833,0.833,10.3,0.805,-0.028,0.349,0.379,-0.284,-0.276
Pulmonic regurgitation,0.4,0.832,0.829,1.6,0.723,-0.108,0.258,0.280,-0.254,-0.264
RV dysfunction,7.7,0.866,0.866,5.8,0.837,-0.029,0.329,0.356,-0.252,-0.298
Pericardial effusion,1.3,0.766,0.766,0.6,0.765,-0.001,0.400,0.388,-0.387,-0.382
Elevated PASP (>=45 mmHg),12.8,0.770,0.770,10.8,0.768,-0.002,0.379,0.402,-0.251,-0.294
Elevated TR Vmax (>=3.2 m/s),6.9,0.754,0.754,12.7,0.763,+0.010,0.363,0.391,-0.295,-0.264
Structural heart disease,42.6,0.820,0.820,47.2,0.790,-0.029,0.412,0.444,+0.014,+0.028
