Subgroup,n,"Prevalence, %",AUROC (95% CI),Calibration slope
Sex,,,,
Male,"23,569",51.4,0.778 (0.772–0.784),0.89
Female,"22,309",42.7,0.801 (0.795–0.806),0.97
Age,,,,
Under 65 years,"19,492",31.7,0.773 (0.766–0.779),0.91
65–79 years,"15,360",50.9,0.751 (0.743–0.758),0.84
80 years and older,"11,026",69.5,0.732 (0.722–0.742),0.79
Race or ethnicity,,,,
White,"31,775",48.3,0.786 (0.781–0.791),0.93
Black,"6,053",47.9,0.802 (0.791–0.812),0.97
Hispanic,"2,116",37.9,0.778 (0.758–0.799),0.89
Asian,"1,486",38.4,0.806 (0.783–0.830),0.98
Other,"1,706",40.7,0.802 (0.781–0.823),0.97
Unknown,"2,742",49.1,0.798 (0.781–0.814),0.94
Care setting at ECG,,,,
Emergency or acute presentation,"13,191",44.4,0.785 (0.778–0.793),0.93
Inpatient or intensive care,"21,492",54.3,0.773 (0.767–0.780),0.90
Outpatient or ambulatory,"11,195",36.9,0.796 (0.787–0.805),0.99
